,GEOID,OCCUPANCY STATUS_Estimate!!Total,OCCUPANCY STATUS_Estimate!!Total!!Occupied,OCCUPANCY STATUS_Estimate!!Total!!Vacant,YEAR
509,13121007805,1460.0,1182.0,278.0,2016.0
510,13121007805,1457.0,1195.0,262.0,2017.0
511,13121002800,1388.0,1017.0,371.0,2012.0
512,13121002800,1518.0,1138.0,380.0,2013.0
513,13121002800,1593.0,1224.0,369.0,2014.0
514,13121002800,1536.0,1245.0,291.0,2015.0
515,13121002800,1573.0,1308.0,265.0,2016.0
516,13121002800,1648.0,1389.0,259.0,2017.0
517,13121002600,593.0,381.0,212.0,2012.0
518,13121002600,581.0,420.0,161.0,2013.0
519,13121002600,614.0,457.0,157.0,2014.0
520,13121002600,626.0,493.0,133.0,2015.0
521,13121002600,642.0,553.0,89.0,2016.0
522,13121002600,660.0,595.0,65.0,2017.0
